HEADER.PURCHASEORDERID,PURCHASEORDERITEM,PRODUCT.PRODUCTID,NOTEID,CURRENCY,GROSSAMOUNT,NETAMOUNT,TAXAMOUNT,QUANTITY,QUANTITYUNIT,DELIVERYDATE
300000174,20,HT-1066,,USD,8.93,7.5,1.43,3,EA,2015-02-12
300000175,10,HT-1069,,JPY,952,800,152,1,EA,2015-08-20
300000175,20,HT-1096,,JPY,285.6,240,45.6,2,EA,2015-04-04
300000176,10,HT-1069,,JPY,1904,1600,304,2,EA,2015-08-05
300000176,20,HT-1096,,JPY,142.8,120,22.8,1,EA,2015-07-01
300000177,10,HT-1069,,JPY,2856,2400,456,3,EA,2015-02-06
300000177,20,HT-1096,,JPY,142.8,120,22.8,1,EA,2015-08-05
300000178,10,HT-1068,,USD,12.5,10.5,2,3,EA,2015-01-20
300000178,20,HT-1095,,USD,571.2,480,91.2,3,EA,2015-03-16
300000179,10,HT-1097,,ARS,133.28,112,21.28,2,EA,2015-03-01
300000179,20,HT-1070,,ARS,84.37,70.9,13.47,1,EA,2015-11-23
300000180,10,HT-1067,,EUR,4.17,3.5,0.67,1,EA,2015-08-31
300000180,20,HT-7000,,EUR,1306.62,1098,208.62,2,EA,2015-01-18
300000181,10,HT-1097,,ARS,199.92,168,31.92,3,EA,2014-12-24
300000181,20,HT-1070,,ARS,84.37,70.9,13.47,1,EA,2014-12-14
300000182,10,HT-1067,,EUR,8.33,7,1.33,2,EA,2015-03-13
300000182,20,HT-7000,,EUR,1959.93,1647,312.93,3,EA,2015-06-30
300000183,10,HT-1062,,ARS,26.18,22,4.18,2,EA,2015-05-12
300000183,20,HT-6131,,ARS,2853.62,2398,455.62,2,EA,2015-11-19
300000184,10,HT-1063,,BRL,33.32,28,5.32,2,EA,2015-09-08
300000184,20,HT-6132,,BRL,2139.62,1798,341.62,2,EA,2015-06-12
300000185,10,HT-7020,,CHF,3546.2,2980,566.2,2,EA,2015-11-02
300000185,20,HT-1065,,CHF,61.88,52,9.88,2,EA,2015-07-31
300000186,10,HT-1069,,JPY,952,800,152,1,EA,2015-04-24
300000186,20,HT-1096,,JPY,428.4,360,68.4,3,EA,2015-01-13
300000187,10,HT-1066,,USD,5.95,5,0.95,2,EA,2014-12-22
300000187,20,HT-7010,,USD,1901.62,1598,303.62,2,EA,2015-04-01
300000188,10,HT-7000,,EUR,653.31,549,104.31,1,EA,2015-12-07
300000188,20,HT-1067,,EUR,12.5,10.5,2,3,EA,2015-02-21
300000189,10,HT-1067,,EUR,4.17,3.5,0.67,1,EA,2015-04-10
300000189,20,HT-7000,,EUR,1306.62,1098,208.62,2,EA,2015-08-16
300000190,10,HT-1068,,USD,12.5,10.5,2,3,EA,2015-11-04
300000190,20,HT-1095,,USD,380.8,320,60.8,2,EA,2014-12-17
300000191,10,HT-1097,,ARS,133.28,112,21.28,2,EA,2015-01-11
300000191,20,HT-1070,,ARS,84.37,70.9,13.47,1,EA,2015-07-18
300000192,10,HT-1065,,CHF,30.94,26,4.94,1,EA,2014-12-08
300000192,20,HT-7020,,CHF,3546.2,2980,566.2,2,EA,2015-01-31
300000193,10,HT-1066,,USD,8.93,7.5,1.43,3,EA,2015-05-09
300000193,20,HT-7010,,USD,2852.43,2397,455.43,3,EA,2015-01-12
300000194,10,HT-1062,,ARS,39.27,33,6.27,3,EA,2015-07-03
300000194,20,HT-6131,,ARS,1426.81,1199,227.81,1,EA,2015-06-13
300000195,10,HT-6132,,BRL,2139.62,1798,341.62,2,EA,2015-10-27
300000195,20,HT-1063,,BRL,33.32,28,5.32,2,EA,2015-12-07
300000196,10,HT-1065,,CHF,61.88,52,9.88,2,EA,2015-03-09
300000196,20,HT-7020,,CHF,1773.1,1490,283.1,1,EA,2015-02-25
300000197,10,HT-1095,,USD,571.2,480,91.2,3,EA,2015-06-07
300000197,20,HT-1068,,USD,12.5,10.5,2,3,EA,2015-11-16
300000198,10,HT-7000,,EUR,1959.93,1647,312.93,3,EA,2015-11-22
300000198,20,HT-1067,,EUR,12.5,10.5,2,3,EA,2015-10-05
300000199,10,HT-7010,,USD,2852.43,2397,455.43,3,EA,2014-12-17
300000199,20,HT-1066,,USD,8.93,7.5,1.43,3,EA,2015-12-26
300000200,10,HT-2002,,EUR,1016.25,853.99,162.26,1,EA,2015-07-01
300000200,20,HT-1090,,EUR,92.82,78,14.82,2,EA,2015-03-25
300000201,10,HT-6123,,ZAR,711.62,598,113.62,2,EA,2015-03-29
300000201,20,HT-1071,,ZAR,97.22,81.7,15.52,1,EA,2015-11-01
300000202,10,HT-6121,,EUR,224.91,189,35.91,3,EA,2015-08-02
300000202,20,HT-1073,,EUR,28.56,24,4.56,1,EA,2015-06-29
300000203,10,HT-6122,,USD,596.19,501,95.19,3,EA,2015-05-03
300000203,20,HT-1072,,USD,361.28,303.6,57.68,3,EA,2015-02-11
300000204,10,HT-1072,,USD,240.86,202.4,38.46,2,EA,2015-05-14
300000204,20,HT-6122,,USD,198.73,167,31.73,1,EA,2015-09-08
300000205,10,HT-6102,,CNY,1057.91,889,168.91,1,EA,2015-05-20
300000205,20,HT-1083,,CNY,1237.6,1040,197.6,2,EA,2015-07-13
300000206,10,HT-1090,,EUR,139.23,117,22.23,3,EA,2015-12-13
300000206,20,HT-2002,,EUR,1016.25,853.99,162.26,1,EA,2015-11-22
300000207,10,HT-6110,,ARS,309.4,260,49.4,2,EA,2015-09-18
300000207,20,HT-1082,,ARS,603.33,507,96.33,3,EA,2015-11-03
300000208,10,HT-6101,,DKK,1616.02,1358,258.02,2,EA,2015-03-14
300000208,20,HT-1085,,DKK,3567.62,2998,569.62,2,EA,2015-04-06
300000209,10,HT-2002,,EUR,2032.5,1707.98,324.52,2,EA,2015-03-06
300000209,20,HT-1090,,EUR,92.82,78,14.82,2,EA,2015-11-06
300000210,10,HT-1071,,ZAR,194.45,163.4,31.05,2,EA,2015-12-07
300000210,20,HT-6123,,ZAR,711.62,598,113.62,2,EA,2015-01-15
300000211,10,HT-6110,,ARS,154.7,130,24.7,1,EA,2015-11-11
300000211,20,HT-1082,,ARS,603.33,507,96.33,3,EA,2015-01-30
300000212,10,HT-6121,,EUR,149.94,126,23.94,2,EA,2015-07-07
300000212,20,HT-1073,,EUR,57.12,48,9.12,2,EA,2015-03-30
300000213,10,HT-1072,,USD,120.43,101.2,19.23,1,EA,2015-05-19
300000213,20,HT-6122,,USD,596.19,501,95.19,3,EA,2015-12-05
300000214,10,HT-6122,,USD,198.73,167,31.73,1,EA,2015-06-14
300000214,20,HT-1072,,USD,240.86,202.4,38.46,2,EA,2015-03-25
300000215,10,HT-6102,,CNY,3173.73,2667,506.73,3,EA,2015-11-02
300000215,20,HT-1083,,CNY,1237.6,1040,197.6,2,EA,2015-02-22
300000216,10,HT-1082,,ARS,402.22,338,64.22,2,EA,2015-03-18
300000216,20,HT-6110,,ARS,154.7,130,24.7,1,EA,2015-07-27
300000217,10,HT-6121,,EUR,74.97,63,11.97,1,EA,2015-05-17
300000217,20,HT-1073,,EUR,57.12,48,9.12,2,EA,2015-04-23
300000218,10,HT-6123,,ZAR,1067.43,897,170.43,3,EA,2015-04-21
300000218,20,HT-1071,,ZAR,291.67,245.1,46.57,3,EA,2015-12-08
300000219,10,HT-6101,,DKK,2424.03,2037,387.03,3,EA,2015-08-10
300000219,20,HT-1085,,DKK,1783.81,1499,284.81,1,EA,2015-12-30
300000220,10,HT-2002,,EUR,2032.5,1707.98,324.52,2,EA,2015-06-20
300000220,20,HT-1090,,EUR,92.82,78,14.82,2,EA,2015-03-31
300000221,10,HT-1071,,ZAR,194.45,163.4,31.05,2,EA,2015-12-22
300000221,20,HT-6123,,ZAR,355.81,299,56.81,1,EA,2015-11-26
300000222,10,HT-6122,,USD,596.19,501,95.19,3,EA,2014-12-18
300000222,20,HT-1072,,USD,361.28,303.6,57.68,3,EA,2015-08-20
300000223,10,HT-6102,,CNY,3173.73,2667,506.73,3,EA,2014-12-17
300000223,20,HT-1083,,CNY,1856.4,1560,296.4,3,EA,2015-11-09
300000224,10,HT-6121,,EUR,224.91,189,35.91,3,EA,2015-10-13
300000224,20,HT-1073,,EUR,85.68,72,13.68,3,EA,2015-10-03
300000225,10,HT-1090,,EUR,46.41,39,7.41,1,EA,2015-06-13
300000225,20,HT-2002,,EUR,2032.5,1707.98,324.52,2,EA,2015-12-22
300000226,10,HT-1090,,EUR,92.82,78,14.82,2,EA,2015-03-28
300000226,20,HT-2002,,EUR,1016.25,853.99,162.26,1,EA,2015-10-16
300000227,10,HT-1090,,EUR,139.23,117,22.23,3,EA,2015-05-07
300000227,20,HT-2002,,EUR,1016.25,853.99,162.26,1,EA,2014-12-07
300000228,10,HT-1083,,CNY,1856.4,1560,296.4,3,EA,2015-06-13
300000228,20,HT-6102,,CNY,3173.73,2667,506.73,3,EA,2015-02-23
300000229,10,HT-6110,,ARS,309.4,260,49.4,2,EA,2015-10-15
300000229,20,HT-1082,,ARS,201.11,169,32.11,1,EA,2015-06-05
300000230,10,HT-1072,,USD,120.43,101.2,19.23,1,EA,2015-01-04
300000230,20,HT-6122,,USD,397.46,334,63.46,2,EA,2015-01-03
300000231,10,HT-6110,,ARS,464.1,390,74.1,3,EA,2015-04-15
300000231,20,HT-1082,,ARS,201.11,169,32.11,1,EA,2015-09-26
300000232,10,HT-1072,,USD,240.86,202.4,38.46,2,EA,2015-06-13
300000232,20,HT-6122,,USD,596.19,501,95.19,3,EA,2014-12-04
300000233,10,HT-1085,,DKK,3567.62,2998,569.62,2,EA,2015-04-30
300000233,20,HT-6101,,DKK,1616.02,1358,258.02,2,EA,2015-05-04
300000234,10,HT-1090,,EUR,92.82,78,14.82,2,EA,2015-06-30
300000234,20,HT-2002,,EUR,2032.5,1707.98,324.52,2,EA,2015-08-14
300000235,10,HT-6123,,ZAR,711.62,598,113.62,2,EA,2015-03-10
300000235,20,HT-1071,,ZAR,194.45,163.4,31.05,2,EA,2015-04-04
300000236,10,HT-1090,,EUR,46.41,39,7.41,1,EA,2015-03-01
300000236,20,HT-2002,,EUR,3048.74,2561.97,486.77,3,EA,2015-11-30
300000237,10,HT-1073,,EUR,57.12,48,9.12,2,EA,2015-10-12
300000237,20,HT-6121,,EUR,149.94,126,23.94,2,EA,2015-05-20
300000238,10,HT-6122,,USD,198.73,167,31.73,1,EA,2015-06-15
300000238,20,HT-1072,,USD,361.28,303.6,57.68,3,EA,2015-02-03
300000239,10,HT-1072,,USD,120.43,101.2,19.23,1,EA,2015-03-06
300000239,20,HT-6122,,USD,397.46,334,63.46,2,EA,2014-12-08
300000240,10,HT-1083,,CNY,1856.4,1560,296.4,3,EA,2014-12-18
300000240,20,HT-6102,,CNY,2115.82,1778,337.82,2,EA,2015-01-21
300000241,10,HT-6110,,ARS,309.4,260,49.4,2,EA,2015-11-05
300000241,20,HT-1082,,ARS,201.11,169,32.11,1,EA,2015-10-25
300000242,10,HT-1071,,ZAR,97.22,81.7,15.52,1,EA,2015-01-15
300000242,20,HT-6123,,ZAR,711.62,598,113.62,2,EA,2015-12-28
300000243,10,HT-1073,,EUR,85.68,72,13.68,3,EA,2014-12-27
300000243,20,HT-6121,,EUR,224.91,189,35.91,3,EA,2015-11-19
300000244,10,HT-1085,,DKK,5351.43,4497,854.43,3,EA,2015-06-02
300000244,20,HT-6101,,DKK,808.01,679,129.01,1,EA,2015-06-13
300000245,10,HT-2002,,EUR,2032.5,1707.98,324.52,2,EA,2015-08-10
300000245,20,HT-1090,,EUR,92.82,78,14.82,2,EA,2015-05-26
300000246,10,HT-1071,,ZAR,194.45,163.4,31.05,2,EA,2015-08-13
300000246,20,HT-6123,,ZAR,355.81,299,56.81,1,EA,2015-07-17
300000247,10,HT-6102,,CNY,3173.73,2667,506.73,3,EA,2015-03-13
300000247,20,HT-1083,,CNY,1856.4,1560,296.4,3,EA,2015-12-31
300000248,10,HT-6122,,USD,596.19,501,95.19,3,EA,2015-06-27
300000248,20,HT-1072,,USD,361.28,303.6,57.68,3,EA,2015-03-16
300000249,10,HT-6121,,EUR,224.91,189,35.91,3,EA,2015-08-21
300000249,20,HT-1073,,EUR,85.68,72,13.68,3,EA,2015-12-27
300000250,10,HT-1000,,EUR,1137.64,956,181.64,1,EA,2015-02-23
300000250,20,HT-1091,,EUR,61.88,52,9.88,2,EA,2014-12-21
300000251,10,HT-1100,,USD,213.96,179.8,34.16,2,EA,2015-02-23
300000251,20,HT-2026,,USD,35.69,29.99,5.7,1,EA,2014-12-31
300000252,10,HT-2000,,EUR,892.46,749.97,142.49,3,EA,2015-02-28
300000252,20,HT-1010,,EUR,2378.81,1999,379.81,1,EA,2015-08-16
300000253,10,HT-1104,,JPY,196.35,165,31.35,3,EA,2015-02-08
300000253,20,HT-1603,,JPY,6069,5100,969,3,EA,2015-12-16
300000254,10,HT-1011,,JPY,5471.62,4598,873.62,2,EA,2015-04-05
300000254,20,HT-1104,,JPY,65.45,55,10.45,1,EA,2015-05-22
300000255,10,HT-1601,,MXN,1071,900,171,1,EA,2015-06-18
300000255,20,HT-1021,,MXN,354.62,298,56.62,2,EA,2015-03-30
300000256,10,HT-1003,,EUR,5890.5,4950,940.5,3,EA,2015-02-03
300000256,20,HT-1101,,EUR,95.08,79.9,15.18,1,EA,2015-10-26
300000257,10,HT-1007,,USD,1187.62,998,189.62,2,EA,2015-04-14
300000257,20,HT-1102,,USD,246.33,207,39.33,3,EA,2015-03-10
300000258,10,HT-1600,,ARS,1428,1200,228,2,EA,2014-12-06
300000258,20,HT-1022,,ARS,487.9,410,77.9,2,EA,2014-12-21
300000259,10,HT-6100,,EUR,1116.22,938,178.22,2,EA,2015-04-04
300000259,20,HT-1000,,EUR,2275.28,1912,363.28,2,EA,2015-10-07
300000260,10,HT-2026,,USD,71.38,59.98,11.4,2,EA,2015-02-17
300000260,20,HT-1002,,USD,3736.6,3140,596.6,2,EA,2015-02-04
300000261,10,HT-1007,,USD,593.81,499,94.81,1,EA,2015-11-23
300000261,20,HT-1102,,USD,246.33,207,39.33,3,EA,2015-03-09
300000262,10,HT-1103,,EUR,183.26,154,29.26,2,EA,2015-09-08
300000262,20,HT-2000,,EUR,594.98,499.98,95,2,EA,2015-07-06
300000263,10,HT-1104,,JPY,65.45,55,10.45,1,EA,2015-11-14
300000263,20,HT-1603,,JPY,6069,5100,969,3,EA,2015-10-12
300000264,10,HT-1603,,JPY,2023,1700,323,1,EA,2015-12-13
300000264,20,HT-1011,,JPY,5471.62,4598,873.62,2,EA,2015-11-17
300000265,10,HT-1601,,MXN,3213,2700,513,3,EA,2014-12-23
300000265,20,HT-1021,,MXN,354.62,298,56.62,2,EA,2015-11-09
300000266,10,HT-2001,,USD,1070.98,899.98,171,2,EA,2015-07-25
300000266,20,HT-1007,,USD,593.81,499,94.81,1,EA,2015-12-08
300000267,10,HT-2000,,EUR,297.49,249.99,47.5,1,EA,2015-04-08
300000267,20,HT-1010,,EUR,4757.62,3998,759.62,2,EA,2015-03-27
300000268,10,HT-1100,,USD,320.94,269.7,51.24,3,EA,2014-12-14
300000268,20,HT-2026,,USD,107.06,89.97,17.09,3,EA,2015-06-14
300000269,10,HT-1600,,ARS,2142,1800,342,3,EA,2015-02-14
300000269,20,HT-1022,,ARS,243.95,205,38.95,1,EA,2015-05-21
300000270,10,HT-6100,,EUR,1116.22,938,178.22,2,EA,2015-05-18
300000270,20,HT-1000,,EUR,2275.28,1912,363.28,2,EA,2015-06-01
300000271,10,HT-2026,,USD,71.38,59.98,11.4,2,EA,2015-09-25
300000271,20,HT-1002,,USD,1868.3,1570,298.3,1,EA,2015-03-15
300000272,10,HT-1603,,JPY,6069,5100,969,3,EA,2015-06-18
300000272,20,HT-1011,,JPY,8207.43,6897,1310.43,3,EA,2015-12-16
300000273,10,HT-1106,,MXN,121.38,102,19.38,3,EA,2015-05-09
300000273,20,HT-1601,,MXN,3213,2700,513,3,EA,2015-01-26
300000274,10,HT-2000,,EUR,892.46,749.97,142.49,3,EA,2015-05-02
300000274,20,HT-1010,,EUR,7136.43,5997,1139.43,3,EA,2015-07-26
300000275,10,HT-1003,,EUR,1963.5,1650,313.5,1,EA,2015-09-06
300000275,20,HT-1101,,EUR,190.16,159.8,30.36,2,EA,2015-07-14
300000276,10,HT-1101,,EUR,190.16,159.8,30.36,2,EA,2015-08-11
300000276,20,HT-2025,,EUR,53.54,44.99,8.55,1,EA,2015-04-11
300000277,10,HT-2025,,EUR,160.61,134.97,25.64,3,EA,2015-01-06
300000277,20,HT-1003,,EUR,1963.5,1650,313.5,1,EA,2015-06-30
300000278,10,HT-1106,,MXN,121.38,102,19.38,3,EA,2015-05-30
300000278,20,HT-1601,,MXN,3213,2700,513,3,EA,2015-09-23
300000279,10,HT-1007,,USD,1187.62,998,189.62,2,EA,2015-09-18
300000279,20,HT-1102,,USD,82.11,69,13.11,1,EA,2015-02-19
300000280,10,HT-1603,,JPY,2023,1700,323,1,EA,2015-09-28
300000280,20,HT-1011,,JPY,5471.62,4598,873.62,2,EA,2015-06-14
300000281,10,HT-1007,,USD,1781.43,1497,284.43,3,EA,2015-03-24
300000281,20,HT-1102,,USD,82.11,69,13.11,1,EA,2015-01-10
300000282,10,HT-1011,,JPY,5471.62,4598,873.62,2,EA,2015-02-18
300000282,20,HT-1104,,JPY,196.35,165,31.35,3,EA,2015-04-28
300000283,10,HT-1600,,ARS,1428,1200,228,2,EA,2015-01-13
300000283,20,HT-1022,,ARS,487.9,410,77.9,2,EA,2015-03-01
300000284,10,HT-6100,,EUR,1116.22,938,178.22,2,EA,2015-07-19
300000284,20,HT-1000,,EUR,2275.28,1912,363.28,2,EA,2015-07-12
300000285,10,HT-2026,,USD,71.38,59.98,11.4,2,EA,2015-04-13
300000285,20,HT-1002,,USD,3736.6,3140,596.6,2,EA,2015-02-18
300000286,10,HT-1003,,EUR,1963.5,1650,313.5,1,EA,2015-07-06
300000286,20,HT-1101,,EUR,285.24,239.7,45.54,3,EA,2015-01-20
300000287,10,HT-1103,,EUR,183.26,154,29.26,2,EA,2015-08-02
300000287,20,HT-2000,,EUR,594.98,499.98,95,2,EA,2014-12-26
300000288,10,HT-1104,,JPY,65.45,55,10.45,1,EA,2015-04-04
300000288,20,HT-1603,,JPY,6069,5100,969,3,EA,2015-02-28
300000289,10,HT-1603,,JPY,2023,1700,323,1,EA,2015-07-11
300000289,20,HT-1011,,JPY,5471.62,4598,873.62,2,EA,2015-06-20
300000290,10,HT-1601,,MXN,3213,2700,513,3,EA,2015-01-10
300000290,20,HT-1021,,MXN,354.62,298,56.62,2,EA,2015-03-07
300000291,10,HT-2001,,USD,1070.98,899.98,171,2,EA,2015-10-09
300000291,20,HT-1007,,USD,593.81,499,94.81,1,EA,2015-04-01
300000292,10,HT-2026,,USD,35.69,29.99,5.7,1,EA,2015-10-07
300000292,20,HT-1002,,USD,3736.6,3140,596.6,2,EA,2015-06-10
300000293,10,HT-1103,,EUR,274.89,231,43.89,3,EA,2015-05-05
300000293,20,HT-2000,,EUR,892.46,749.97,142.49,3,EA,2015-03-22
300000294,10,HT-1600,,ARS,2142,1800,342,3,EA,2015-07-20
300000294,20,HT-1022,,ARS,243.95,205,38.95,1,EA,2015-08-14
300000295,10,HT-1091,,EUR,61.88,52,9.88,2,EA,2015-06-07
300000295,20,HT-6100,,EUR,1116.22,938,178.22,2,EA,2014-12-21
300000296,10,HT-1100,,USD,213.96,179.8,34.16,2,EA,2015-03-10
300000296,20,HT-2026,,USD,35.69,29.99,5.7,1,EA,2015-09-03
300000297,10,HT-1106,,MXN,121.38,102,19.38,3,EA,2015-12-11
300000297,20,HT-1601,,MXN,3213,2700,513,3,EA,2015-04-25
300000298,10,HT-1011,,JPY,8207.43,6897,1310.43,3,EA,2015-10-08
300000298,20,HT-1104,,JPY,196.35,165,31.35,3,EA,2015-01-25
300000299,10,HT-1103,,EUR,274.89,231,43.89,3,EA,2015-09-08
300000299,20,HT-2000,,EUR,892.46,749.97,142.49,3,EA,2014-12-08
300000300,10,HT-1061,,EUR,8.33,7,1.33,1,EA,2015-08-28
300000300,20,HT-6130,,EUR,3472.42,2918,554.42,2,EA,2015-11-01
300000301,10,HT-1060,,EUR,21.42,18,3.42,2,EA,2015-04-10
300000301,20,HT-1502,,EUR,29750,25000,4750,1,EA,2015-04-19
300000302,10,HT-1052,,EUR,606.9,510,96.9,3,EA,2015-03-11
300000302,20,HT-1210,,EUR,2854.81,2399,455.81,1,EA,2015-10-31
300000303,10,HT-1056,,JPY,424.83,357,67.83,3,EA,2015-12-08
300000303,20,HT-1501,,JPY,53550,45000,8550,3,EA,2015-03-16
300000304,10,HT-1501,,JPY,35700,30000,5700,2,EA,2015-11-28
300000304,20,HT-1056,,JPY,141.61,119,22.61,1,EA,2015-01-30
300000305,10,HT-1051,,USD,117.81,99,18.81,1,EA,2015-02-21
300000305,20,HT-1138,,USD,2882.18,2422,460.18,2,EA,2015-09-22
300000306,10,HT-1500,,EUR,17850,15000,2850,3,EA,2015-08-31
300000306,20,HT-1055,,EUR,117.81,99,18.81,1,EA,2015-05-08
300000307,10,HT-1042,,EUR,830.62,698,132.62,2,EA,2015-11-06
300000307,20,HT-1120,,EUR,928.2,780,148.2,3,EA,2015-02-14
300000308,10,HT-1061,,EUR,16.66,14,2.66,2,EA,2014-12-15
300000308,20,HT-6130,,EUR,3472.42,2918,554.42,2,EA,2015-03-13
300000309,10,HT-1061,,EUR,16.66,14,2.66,2,EA,2015-11-13
300000309,20,HT-6130,,EUR,3472.42,2918,554.42,2,EA,2015-05-23
300000310,10,HT-1502,,EUR,59500,50000,9500,2,EA,2015-06-19
300000310,20,HT-1060,,EUR,21.42,18,3.42,2,EA,2015-10-21
300000311,10,HT-1042,,EUR,415.31,349,66.31,1,EA,2015-08-30
300000311,20,HT-1120,,EUR,928.2,780,148.2,3,EA,2015-10-23
300000312,10,HT-1052,,EUR,404.6,340,64.6,2,EA,2015-11-03
300000312,20,HT-1210,,EUR,5709.62,4798,911.62,2,EA,2015-10-12
300000313,10,HT-1501,,JPY,17850,15000,2850,1,EA,2015-04-08
300000313,20,HT-1056,,JPY,424.83,357,67.83,3,EA,2015-12-19
300000314,10,HT-1056,,JPY,141.61,119,22.61,1,EA,2015-04-12
300000314,20,HT-1501,,JPY,35700,30000,5700,2,EA,2015-01-17
300000315,10,HT-1051,,USD,353.43,297,56.43,3,EA,2015-02-03
300000315,20,HT-1138,,USD,2882.18,2422,460.18,2,EA,2015-02-05
300000316,10,HT-1120,,EUR,618.8,520,98.8,2,EA,2015-09-11
300000316,20,HT-1042,,EUR,415.31,349,66.31,1,EA,2015-11-06
300000317,10,HT-1052,,EUR,202.3,170,32.3,1,EA,2015-09-11
300000317,20,HT-1210,,EUR,5709.62,4798,911.62,2,EA,2015-10-27
300000318,10,HT-1060,,EUR,32.13,27,5.13,3,EA,2015-08-18
300000318,20,HT-1502,,EUR,89250,75000,14250,3,EA,2015-12-03
300000319,10,HT-1061,,EUR,24.99,21,3.99,3,EA,2015-03-01
300000319,20,HT-6130,,EUR,1736.21,1459,277.21,1,EA,2015-11-23
300000320,10,HT-1061,,EUR,16.66,14,2.66,2,EA,2015-05-30
300000320,20,HT-6130,,EUR,3472.42,2918,554.42,2,EA,2015-04-08
300000321,10,HT-1502,,EUR,59500,50000,9500,2,EA,2015-02-16
300000321,20,HT-1060,,EUR,10.71,9,1.71,1,EA,2015-12-03
300000322,10,HT-1056,,JPY,424.83,357,67.83,3,EA,2015-04-22
300000322,20,HT-1501,,JPY,53550,45000,8550,3,EA,2015-02-24
300000323,10,HT-1051,,USD,353.43,297,56.43,3,EA,2015-01-20
300000323,20,HT-1138,,USD,4323.27,3633,690.27,3,EA,2015-07-24
300000324,10,HT-1052,,EUR,606.9,510,96.9,3,EA,2015-07-08
300000324,20,HT-1210,,EUR,8564.43,7197,1367.43,3,EA,2015-07-03
300000325,10,HT-1500,,EUR,5950,5000,950,1,EA,2015-04-11
300000325,20,HT-1055,,EUR,235.62,198,37.62,2,EA,2015-09-05
300000326,10,HT-1500,,EUR,11900,10000,1900,2,EA,2015-10-22
300000326,20,HT-1055,,EUR,117.81,99,18.81,1,EA,2015-04-14
300000327,10,HT-1500,,EUR,17850,15000,2850,3,EA,2015-04-07
300000327,20,HT-1055,,EUR,117.81,99,18.81,1,EA,2015-04-20
300000328,10,HT-1138,,USD,4323.27,3633,690.27,3,EA,2015-07-17
300000328,20,HT-1051,,USD,353.43,297,56.43,3,EA,2015-03-15
300000329,10,HT-1042,,EUR,830.62,698,132.62,2,EA,2015-12-14
300000329,20,HT-1120,,EUR,309.4,260,49.4,1,EA,2015-03-08
300000330,10,HT-1501,,JPY,17850,15000,2850,1,EA,2015-05-17
300000330,20,HT-1056,,JPY,283.22,238,45.22,2,EA,2014-12-12
300000331,10,HT-1042,,EUR,1245.93,1047,198.93,3,EA,2015-05-20
300000331,20,HT-1120,,EUR,309.4,260,49.4,1,EA,2015-02-26
300000332,10,HT-1501,,JPY,35700,30000,5700,2,EA,2015-11-17
300000332,20,HT-1056,,JPY,424.83,357,67.83,3,EA,2015-12-04
300000333,10,HT-6130,,EUR,3472.42,2918,554.42,2,EA,2015-06-11
300000333,20,HT-1061,,EUR,16.66,14,2.66,2,EA,2015-02-18
300000334,10,HT-6130,,EUR,3472.42,2918,554.42,2,EA,2015-08-30
300000334,20,HT-1061,,EUR,16.66,14,2.66,2,EA,2015-10-12
300000335,10,HT-1060,,EUR,21.42,18,3.42,2,EA,2015-08-10
300000335,20,HT-1502,,EUR,59500,50000,9500,2,EA,2015-12-05
300000336,10,HT-1500,,EUR,5950,5000,950,1,EA,2015-05-21
300000336,20,HT-1055,,EUR,353.43,297,56.43,3,EA,2015-06-29
300000337,10,HT-1210,,EUR,5709.62,4798,911.62,2,EA,2015-06-14
300000337,20,HT-1052,,EUR,404.6,340,64.6,2,EA,2015-07-02
300000338,10,HT-1056,,JPY,141.61,119,22.61,1,EA,2015-11-23
300000338,20,HT-1501,,JPY,53550,45000,8550,3,EA,2015-02-07
300000339,10,HT-1501,,JPY,17850,15000,2850,1,EA,2015-08-04
300000339,20,HT-1056,,JPY,283.22,238,45.22,2,EA,2015-05-26
300000340,10,HT-1138,,USD,4323.27,3633,690.27,3,EA,2015-02-02
300000340,20,HT-1051,,USD,235.62,198,37.62,2,EA,2015-06-10
300000341,10,HT-1042,,EUR,830.62,698,132.62,2,EA,2015-06-18
300000341,20,HT-1120,,EUR,309.4,260,49.4,1,EA,2015-04-26
300000342,10,HT-1502,,EUR,29750,25000,4750,1,EA,2015-12-05
300000342,20,HT-1060,,EUR,21.42,18,3.42,2,EA,2015-10-19
300000343,10,HT-1210,,EUR,8564.43,7197,1367.43,3,EA,2015-01-24
300000343,20,HT-1052,,EUR,606.9,510,96.9,3,EA,2015-06-11
300000344,10,HT-6130,,EUR,5208.63,4377,831.63,3,EA,2015-03-28
300000344,20,HT-1061,,EUR,8.33,7,1.33,1,EA,2015-07-05
300000345,10,HT-1061,,EUR,16.66,14,2.66,2,EA,2014-12-24
300000345,20,HT-6130,,EUR,3472.42,2918,554.42,2,EA,2015-01-01
300000346,10,HT-1502,,EUR,59500,50000,9500,2,EA,2015-09-19
300000346,20,HT-1060,,EUR,10.71,9,1.71,1,EA,2015-04-06
300000347,10,HT-1051,,USD,353.43,297,56.43,3,EA,2015-03-25
300000347,20,HT-1138,,USD,4323.27,3633,690.27,3,EA,2015-01-18
300000348,10,HT-1056,,JPY,424.83,357,67.83,3,EA,2015-01-23
300000348,20,HT-1501,,JPY,53550,45000,8550,3,EA,2015-07-23
300000349,10,HT-1052,,EUR,606.9,510,96.9,3,EA,2015-02-14
300000349,20,HT-1210,,EUR,8564.43,7197,1367.43,3,EA,2015-06-15
