HEADER.SALESORDERID,SALESORDERITEM,PRODUCT.PRODUCTID,NOTEID,CURRENCY,GROSSAMOUNT,NETAMOUNT,TAXAMOUNT,ITEMATPSTATUS,OPITEMPOS,QUANTITY,QUANTITYUNIT,DELIVERYDATE
500000161,10,HT-1104,,JPY,65.45,55,10.45,I,,1,EA,2015-12-04
500000161,20,HT-1105,,EUR,103.53,87,16.53,I,,3,EA,2015-12-04
500000162,10,HT-1000,,EUR,2275.28,1912,363.28,I,,2,EA,2015-12-04
500000162,20,HT-1001,,EUR,2972.62,2498,474.62,I,,2,EA,2015-12-04
500000163,10,HT-1022,,ARS,243.95,205,38.95,I,,1,EA,2015-12-04
500000163,20,HT-1023,,USD,853.23,717,136.23,I,,3,EA,2015-12-04
500000164,10,HT-1040,,EUR,987.7,830,157.7,I,,1,EA,2015-12-04
500000164,20,HT-1041,,ARS,1166.2,980,186.2,I,,2,EA,2015-12-04
500000165,10,HT-1055,,EUR,353.43,297,56.43,I,,3,EA,2015-12-04
500000165,20,HT-1056,,JPY,283.22,238,45.22,I,,2,EA,2015-12-04
500000166,10,HT-1067,,EUR,8.33,7,1.33,I,,2,EA,2015-12-04
500000166,20,HT-1068,,USD,4.17,3.5,0.67,I,,1,EA,2015-12-04
500000167,10,HT-1100,,USD,106.98,89.9,17.08,I,,1,EA,2015-12-04
500000167,20,HT-1107,,ARS,71.16,59.8,11.36,I,,2,EA,2015-12-04
500000168,10,HT-1100,,USD,320.94,269.7,51.24,I,,3,EA,2015-12-04
500000168,20,HT-1101,,EUR,285.24,239.7,45.54,I,,3,EA,2015-12-04
500000169,10,HT-1070,,ARS,253.11,212.7,40.41,I,,3,EA,2015-12-04
500000169,20,HT-1071,,ZAR,97.22,81.7,15.52,I,,1,EA,2015-12-04
500000170,10,HT-1082,,ARS,402.22,338,64.22,I,,2,EA,2015-12-04
500000170,20,HT-1083,,CNY,1237.6,1040,197.6,I,,2,EA,2015-12-04
500000171,10,HT-1113,,EUR,5.47,4.6,0.87,I,,2,EA,2015-12-04
500000171,20,HT-1114,,USD,82.11,69,13.11,I,,1,EA,2015-12-04
500000172,10,HT-1102,,USD,246.33,207,39.33,I,,3,EA,2015-12-04
500000172,20,HT-1103,,EUR,274.89,231,43.89,I,,3,EA,2015-12-04
500000173,10,HT-1104,,JPY,196.35,165,31.35,I,,3,EA,2015-12-04
500000173,20,HT-1105,,EUR,103.53,87,16.53,I,,3,EA,2015-12-04
500000174,10,HT-1116,,MXN,128.52,108,20.52,I,,3,EA,2015-12-04
500000174,20,HT-1117,,EUR,135.66,114,21.66,I,,3,EA,2015-12-04
500000175,10,HT-1000,,EUR,1137.64,956,181.64,I,,1,EA,2015-12-04
500000175,20,HT-1001,,EUR,2972.62,2498,474.62,I,,2,EA,2015-12-04
500000176,10,HT-1030,,EUR,547.4,460,87.4,I,,2,EA,2015-12-04
500000176,20,HT-1031,,GBP,339.15,285,54.15,I,,1,EA,2015-12-04
500000177,10,HT-1040,,EUR,2963.1,2490,473.1,I,,3,EA,2015-12-04
500000177,20,HT-1041,,ARS,583.1,490,93.1,I,,1,EA,2015-12-04
500000178,10,HT-1073,,EUR,85.68,72,13.68,I,,3,EA,2015-12-04
500000178,20,HT-1080,,INR,182.07,153,29.07,I,,3,EA,2015-12-04
500000179,10,HT-1100,,USD,213.96,179.8,34.16,I,,2,EA,2015-12-04
500000179,20,HT-1101,,EUR,95.08,79.9,15.18,I,,1,EA,2015-12-04
500000180,10,HT-1500,,EUR,5950,5000,950,I,,1,EA,2015-12-04
500000180,20,HT-1501,,JPY,3570,3000,570,I,,2,EA,2015-12-04
500000181,10,HT-1105,,EUR,103.53,87,16.53,I,,3,EA,2015-12-04
500000181,20,HT-1106,,MXN,40.46,34,6.46,I,,1,EA,2015-12-04
500000182,10,HT-1030,,EUR,547.4,460,87.4,I,,2,EA,2015-12-04
500000182,20,HT-1031,,GBP,1017.45,855,162.45,I,,3,EA,2015-12-04
500000183,10,HT-1060,,EUR,21.42,18,3.42,I,,2,EA,2015-12-04
500000183,20,HT-1061,,EUR,16.66,14,2.66,I,,2,EA,2015-12-04
500000184,10,HT-1500,,EUR,11900,10000,1900,I,,2,EA,2015-12-04
500000184,20,HT-1501,,JPY,3570,3000,570,I,,2,EA,2015-12-04
500000185,10,HT-1085,,DKK,3567.62,2998,569.62,I,,2,EA,2015-12-04
500000185,20,HT-1090,,EUR,92.82,78,14.82,I,,2,EA,2015-12-04
500000186,10,HT-1104,,JPY,65.45,55,10.45,I,,1,EA,2015-12-04
500000186,20,HT-1105,,EUR,103.53,87,16.53,I,,3,EA,2015-12-04
500000187,10,HT-1000,,EUR,2275.28,1912,363.28,I,,2,EA,2015-12-04
500000187,20,HT-1001,,EUR,2972.62,2498,474.62,I,,2,EA,2015-12-04
500000188,10,HT-1070,,ARS,84.37,70.9,13.47,I,,1,EA,2015-12-04
500000188,20,HT-1071,,ZAR,291.67,245.1,46.57,I,,3,EA,2015-12-04
500000189,10,HT-1040,,EUR,987.7,830,157.7,I,,1,EA,2015-12-04
500000189,20,HT-1041,,ARS,1166.2,980,186.2,I,,2,EA,2015-12-04
500000190,10,HT-1113,,EUR,8.21,6.9,1.31,I,,3,EA,2015-12-04
500000190,20,HT-1114,,USD,164.22,138,26.22,I,,2,EA,2015-12-04
500000191,10,HT-1117,,EUR,90.44,76,14.44,I,,2,EA,2015-12-04
500000191,20,HT-1118,,ARS,94.01,79,15.01,I,,1,EA,2015-12-04
500000192,10,HT-1100,,USD,106.98,89.9,17.08,I,,1,EA,2015-12-04
500000192,20,HT-1107,,ARS,71.16,59.8,11.36,I,,2,EA,2015-12-04
500000193,10,HT-1100,,USD,320.94,269.7,51.24,I,,3,EA,2015-12-04
500000193,20,HT-1101,,EUR,285.24,239.7,45.54,I,,3,EA,2015-12-04
500000194,10,HT-1070,,ARS,253.11,212.7,40.41,I,,3,EA,2015-12-04
500000194,20,HT-1071,,ZAR,97.22,81.7,15.52,I,,1,EA,2015-12-04
500000195,10,HT-1210,,EUR,5709.62,4798,911.62,I,,2,EA,2015-12-04
500000195,20,HT-1500,,EUR,11900,10000,1900,I,,2,EA,2015-12-04
500000196,10,HT-1063,,BRL,33.32,28,5.32,I,,2,EA,2015-12-04
500000196,20,HT-1064,,CAD,19.04,16,3.04,I,,1,EA,2015-12-04
500000197,10,HT-1102,,USD,246.33,207,39.33,I,,3,EA,2015-12-04
500000197,20,HT-1103,,EUR,274.89,231,43.89,I,,3,EA,2015-12-04
500000198,10,HT-1104,,JPY,196.35,165,31.35,I,,3,EA,2015-12-04
500000198,20,HT-1105,,EUR,103.53,87,16.53,I,,3,EA,2015-12-04
500000199,10,HT-1116,,MXN,128.52,108,20.52,I,,3,EA,2015-12-04
500000199,20,HT-1117,,EUR,135.66,114,21.66,I,,3,EA,2015-12-04
500000200,10,HT-1000,,EUR,1137.64,956,181.64,I,,1,EA,2015-12-04
500000200,20,HT-1001,,EUR,2972.62,2498,474.62,I,,2,EA,2015-12-04
500000201,10,HT-1030,,EUR,547.4,460,87.4,I,,2,EA,2015-12-04
500000201,20,HT-1031,,GBP,339.15,285,54.15,I,,1,EA,2015-12-04
500000202,10,HT-1040,,EUR,2963.1,2490,473.1,I,,3,EA,2015-12-04
500000202,20,HT-1041,,ARS,583.1,490,93.1,I,,1,EA,2015-12-04
500000203,10,HT-1073,,EUR,85.68,72,13.68,I,,3,EA,2015-12-04
500000203,20,HT-1080,,INR,182.07,153,29.07,I,,3,EA,2015-12-04
500000204,10,HT-1100,,USD,213.96,179.8,34.16,I,,2,EA,2015-12-04
500000204,20,HT-1101,,EUR,95.08,79.9,15.18,I,,1,EA,2015-12-04
500000205,10,HT-1500,,EUR,5950,5000,950,I,,1,EA,2015-12-04
500000205,20,HT-1501,,JPY,3570,3000,570,I,,2,EA,2015-12-04
500000206,10,HT-1105,,EUR,103.53,87,16.53,I,,3,EA,2015-12-04
500000206,20,HT-1106,,MXN,40.46,34,6.46,I,,1,EA,2015-12-04
500000207,10,HT-1030,,EUR,547.4,460,87.4,I,,2,EA,2015-12-04
500000207,20,HT-1031,,GBP,1017.45,855,162.45,I,,3,EA,2015-12-04
500000208,10,HT-1060,,EUR,21.42,18,3.42,I,,2,EA,2015-12-04
500000208,20,HT-1061,,EUR,16.66,14,2.66,I,,2,EA,2015-12-04
500000209,10,HT-1040,,EUR,1975.4,1660,315.4,I,,2,EA,2015-12-04
500000209,20,HT-1041,,ARS,1166.2,980,186.2,I,,2,EA,2015-12-04
500000210,10,HT-1070,,ARS,168.74,141.8,26.94,I,,2,EA,2015-12-04
500000210,20,HT-1071,,ZAR,194.45,163.4,31.05,I,,2,EA,2015-12-04
500000211,10,HT-1104,,JPY,65.45,55,10.45,I,,1,EA,2015-12-04
500000211,20,HT-1105,,EUR,103.53,87,16.53,I,,3,EA,2015-12-04
500000212,10,HT-1000,,EUR,2275.28,1912,363.28,I,,2,EA,2015-12-04
500000212,20,HT-1001,,EUR,2972.62,2498,474.62,I,,2,EA,2015-12-04
500000213,10,HT-1022,,ARS,243.95,205,38.95,I,,1,EA,2015-12-04
500000213,20,HT-1023,,USD,853.23,717,136.23,I,,3,EA,2015-12-04
500000214,10,HT-1040,,EUR,987.7,830,157.7,I,,1,EA,2015-12-04
500000214,20,HT-1041,,ARS,1166.2,980,186.2,I,,2,EA,2015-12-04
500000215,10,HT-1055,,EUR,353.43,297,56.43,I,,3,EA,2015-12-04
500000215,20,HT-1056,,JPY,283.22,238,45.22,I,,2,EA,2015-12-04
500000216,10,HT-1067,,EUR,8.33,7,1.33,I,,2,EA,2015-12-04
500000216,20,HT-1068,,USD,4.17,3.5,0.67,I,,1,EA,2015-12-04
500000217,10,HT-1100,,USD,106.98,89.9,17.08,I,,1,EA,2015-12-04
500000217,20,HT-1107,,ARS,71.16,59.8,11.36,I,,2,EA,2015-12-04
500000218,10,HT-1100,,USD,320.94,269.7,51.24,I,,3,EA,2015-12-04
500000218,20,HT-1101,,EUR,285.24,239.7,45.54,I,,3,EA,2015-12-04
500000219,10,HT-1070,,ARS,253.11,212.7,40.41,I,,3,EA,2015-12-04
500000219,20,HT-1071,,ZAR,97.22,81.7,15.52,I,,1,EA,2015-12-04
500000220,10,HT-1082,,ARS,402.22,338,64.22,I,,2,EA,2015-12-04
500000220,20,HT-1083,,CNY,1237.6,1040,197.6,I,,2,EA,2015-12-04
500000221,10,HT-1113,,EUR,5.47,4.6,0.87,I,,2,EA,2015-12-04
500000221,20,HT-1114,,USD,82.11,69,13.11,I,,1,EA,2015-12-04
500000222,10,HT-1102,,USD,246.33,207,39.33,I,,3,EA,2015-12-04
500000222,20,HT-1103,,EUR,274.89,231,43.89,I,,3,EA,2015-12-04
500000223,10,HT-1104,,JPY,196.35,165,31.35,I,,3,EA,2015-12-04
500000223,20,HT-1105,,EUR,103.53,87,16.53,I,,3,EA,2015-12-04
500000224,10,HT-1116,,MXN,128.52,108,20.52,I,,3,EA,2015-12-04
500000224,20,HT-1117,,EUR,135.66,114,21.66,I,,3,EA,2015-12-04
500000225,10,HT-1000,,EUR,1137.64,956,181.64,I,,1,EA,2015-12-04
500000225,20,HT-1001,,EUR,2972.62,2498,474.62,I,,2,EA,2015-12-04
500000226,10,HT-1030,,EUR,547.4,460,87.4,I,,2,EA,2015-12-04
500000226,20,HT-1031,,GBP,339.15,285,54.15,I,,1,EA,2015-12-04
500000227,10,HT-1040,,EUR,2963.1,2490,473.1,I,,3,EA,2015-12-04
500000227,20,HT-1041,,ARS,583.1,490,93.1,I,,1,EA,2015-12-04
500000228,10,HT-1073,,EUR,85.68,72,13.68,I,,3,EA,2015-12-04
500000228,20,HT-1080,,INR,182.07,153,29.07,I,,3,EA,2015-12-04
500000229,10,HT-1100,,USD,213.96,179.8,34.16,I,,2,EA,2015-12-04
500000229,20,HT-1101,,EUR,95.08,79.9,15.18,I,,1,EA,2015-12-04
500000230,10,HT-1500,,EUR,5950,5000,950,I,,1,EA,2015-12-04
500000230,20,HT-1501,,JPY,3570,3000,570,I,,2,EA,2015-12-04
500000231,10,HT-1105,,EUR,103.53,87,16.53,I,,3,EA,2015-12-04
500000231,20,HT-1106,,MXN,40.46,34,6.46,I,,1,EA,2015-12-04
500000232,10,HT-1030,,EUR,547.4,460,87.4,I,,2,EA,2015-12-04
500000232,20,HT-1031,,GBP,1017.45,855,162.45,I,,3,EA,2015-12-04
500000233,10,HT-1060,,EUR,21.42,18,3.42,I,,2,EA,2015-12-04
500000233,20,HT-1061,,EUR,16.66,14,2.66,I,,2,EA,2015-12-04
500000234,10,HT-1500,,EUR,11900,10000,1900,I,,2,EA,2015-12-04
500000234,20,HT-1501,,JPY,3570,3000,570,I,,2,EA,2015-12-04
500000235,10,HT-1085,,DKK,3567.62,2998,569.62,I,,2,EA,2015-12-04
500000235,20,HT-1090,,EUR,92.82,78,14.82,I,,2,EA,2015-12-04
500000236,10,HT-1104,,JPY,65.45,55,10.45,I,,1,EA,2015-12-04
500000236,20,HT-1105,,EUR,103.53,87,16.53,I,,3,EA,2015-12-04
500000237,10,HT-1000,,EUR,2275.28,1912,363.28,I,,2,EA,2015-12-04
500000237,20,HT-1001,,EUR,2972.62,2498,474.62,I,,2,EA,2015-12-04
500000238,10,HT-1070,,ARS,84.37,70.9,13.47,I,,1,EA,2015-12-04
500000238,20,HT-1071,,ZAR,291.67,245.1,46.57,I,,3,EA,2015-12-04
500000239,10,HT-1040,,EUR,987.7,830,157.7,I,,1,EA,2015-12-04
500000239,20,HT-1041,,ARS,1166.2,980,186.2,I,,2,EA,2015-12-04
500000240,10,HT-1113,,EUR,8.21,6.9,1.31,I,,3,EA,2015-12-04
500000240,20,HT-1114,,USD,164.22,138,26.22,I,,2,EA,2015-12-04
500000241,10,HT-1117,,EUR,90.44,76,14.44,I,,2,EA,2015-12-04
500000241,20,HT-1118,,ARS,94.01,79,15.01,I,,1,EA,2015-12-04
500000242,10,HT-1100,,USD,106.98,89.9,17.08,I,,1,EA,2015-12-04
500000242,20,HT-1107,,ARS,71.16,59.8,11.36,I,,2,EA,2015-12-04
500000243,10,HT-1100,,USD,320.94,269.7,51.24,I,,3,EA,2015-12-04
500000243,20,HT-1101,,EUR,285.24,239.7,45.54,I,,3,EA,2015-12-04
500000244,10,HT-1070,,ARS,253.11,212.7,40.41,I,,3,EA,2015-12-04
500000244,20,HT-1071,,ZAR,97.22,81.7,15.52,I,,1,EA,2015-12-04
500000245,10,HT-1210,,EUR,5709.62,4798,911.62,I,,2,EA,2015-12-04
500000245,20,HT-1500,,EUR,11900,10000,1900,I,,2,EA,2015-12-04
500000246,10,HT-1063,,BRL,33.32,28,5.32,I,,2,EA,2015-12-04
500000246,20,HT-1064,,CAD,19.04,16,3.04,I,,1,EA,2015-12-04
500000247,10,HT-1102,,USD,246.33,207,39.33,I,,3,EA,2015-12-04
500000247,20,HT-1103,,EUR,274.89,231,43.89,I,,3,EA,2015-12-04
500000248,10,HT-1104,,JPY,196.35,165,31.35,I,,3,EA,2015-12-04
500000248,20,HT-1105,,EUR,103.53,87,16.53,I,,3,EA,2015-12-04
500000249,10,HT-1116,,MXN,128.52,108,20.52,I,,3,EA,2015-12-04
500000249,20,HT-1117,,EUR,135.66,114,21.66,I,,3,EA,2015-12-04
500000250,10,HT-1000,,EUR,1137.64,956,181.64,I,,1,EA,2015-12-04
500000250,20,HT-1001,,EUR,2972.62,2498,474.62,I,,2,EA,2015-12-04
500000251,10,HT-1030,,EUR,547.4,460,87.4,I,,2,EA,2015-12-04
500000251,20,HT-1031,,GBP,339.15,285,54.15,I,,1,EA,2015-12-04
500000252,10,HT-1040,,EUR,2963.1,2490,473.1,I,,3,EA,2015-12-04
500000252,20,HT-1041,,ARS,583.1,490,93.1,I,,1,EA,2015-12-04
500000253,10,HT-1073,,EUR,85.68,72,13.68,I,,3,EA,2015-12-04
500000253,20,HT-1080,,INR,182.07,153,29.07,I,,3,EA,2015-12-04
500000254,10,HT-1100,,USD,213.96,179.8,34.16,I,,2,EA,2015-12-04
500000254,20,HT-1101,,EUR,95.08,79.9,15.18,I,,1,EA,2015-12-04
500000255,10,HT-1500,,EUR,5950,5000,950,I,,1,EA,2015-12-04
500000255,20,HT-1501,,JPY,3570,3000,570,I,,2,EA,2015-12-04
500000256,10,HT-1105,,EUR,103.53,87,16.53,I,,3,EA,2015-12-04
500000256,20,HT-1106,,MXN,40.46,34,6.46,I,,1,EA,2015-12-04
500000257,10,HT-1030,,EUR,547.4,460,87.4,I,,2,EA,2015-12-04
500000257,20,HT-1031,,GBP,1017.45,855,162.45,I,,3,EA,2015-12-04
500000258,10,HT-1060,,EUR,21.42,18,3.42,I,,2,EA,2015-12-04
500000258,20,HT-1061,,EUR,16.66,14,2.66,I,,2,EA,2015-12-04
500000259,10,HT-1040,,EUR,1975.4,1660,315.4,I,,2,EA,2015-12-04
500000259,20,HT-1041,,ARS,1166.2,980,186.2,I,,2,EA,2015-12-04
500000260,10,HT-1070,,ARS,168.74,141.8,26.94,I,,2,EA,2015-12-04
500000260,20,HT-1071,,ZAR,194.45,163.4,31.05,I,,2,EA,2015-12-04
500000261,10,HT-1104,,JPY,65.45,55,10.45,I,,1,EA,2015-12-04
500000261,20,HT-1105,,EUR,103.53,87,16.53,I,,3,EA,2015-12-04
500000262,10,HT-1000,,EUR,2275.28,1912,363.28,I,,2,EA,2015-12-04
500000262,20,HT-1001,,EUR,2972.62,2498,474.62,I,,2,EA,2015-12-04
500000263,10,HT-1022,,ARS,243.95,205,38.95,I,,1,EA,2015-12-04
500000263,20,HT-1023,,USD,853.23,717,136.23,I,,3,EA,2015-12-04
500000264,10,HT-1040,,EUR,987.7,830,157.7,I,,1,EA,2015-12-04
500000264,20,HT-1041,,ARS,1166.2,980,186.2,I,,2,EA,2015-12-04
500000265,10,HT-1055,,EUR,353.43,297,56.43,I,,3,EA,2015-12-04
500000265,20,HT-1056,,JPY,283.22,238,45.22,I,,2,EA,2015-12-04
500000266,10,HT-1067,,EUR,8.33,7,1.33,I,,2,EA,2015-12-04
500000266,20,HT-1068,,USD,4.17,3.5,0.67,I,,1,EA,2015-12-04
500000267,10,HT-1100,,USD,106.98,89.9,17.08,I,,1,EA,2015-12-04
500000267,20,HT-1107,,ARS,71.16,59.8,11.36,I,,2,EA,2015-12-04
500000268,10,HT-1100,,USD,320.94,269.7,51.24,I,,3,EA,2015-12-04
500000268,20,HT-1101,,EUR,285.24,239.7,45.54,I,,3,EA,2015-12-04
500000269,10,HT-1070,,ARS,253.11,212.7,40.41,I,,3,EA,2015-12-04
500000269,20,HT-1071,,ZAR,97.22,81.7,15.52,I,,1,EA,2015-12-04
500000270,10,HT-1082,,ARS,402.22,338,64.22,I,,2,EA,2015-12-04
500000270,20,HT-1083,,CNY,1237.6,1040,197.6,I,,2,EA,2015-12-04
500000271,10,HT-1113,,EUR,5.47,4.6,0.87,I,,2,EA,2015-12-04
500000271,20,HT-1114,,USD,82.11,69,13.11,I,,1,EA,2015-12-04
500000272,10,HT-1102,,USD,246.33,207,39.33,I,,3,EA,2015-12-04
500000272,20,HT-1103,,EUR,274.89,231,43.89,I,,3,EA,2015-12-04
500000273,10,HT-1104,,JPY,196.35,165,31.35,I,,3,EA,2015-12-04
500000273,20,HT-1105,,EUR,103.53,87,16.53,I,,3,EA,2015-12-04
500000274,10,HT-1116,,MXN,128.52,108,20.52,I,,3,EA,2015-12-04
500000274,20,HT-1117,,EUR,135.66,114,21.66,I,,3,EA,2015-12-04
500000275,10,HT-1000,,EUR,1137.64,956,181.64,I,,1,EA,2015-12-04
500000275,20,HT-1001,,EUR,2972.62,2498,474.62,I,,2,EA,2015-12-04
500000276,10,HT-1030,,EUR,547.4,460,87.4,I,,2,EA,2015-12-04
500000276,20,HT-1031,,GBP,339.15,285,54.15,I,,1,EA,2015-12-04
500000277,10,HT-1040,,EUR,2963.1,2490,473.1,I,,3,EA,2015-12-04
500000277,20,HT-1041,,ARS,583.1,490,93.1,I,,1,EA,2015-12-04
500000278,10,HT-1073,,EUR,85.68,72,13.68,I,,3,EA,2015-12-04
500000278,20,HT-1080,,INR,182.07,153,29.07,I,,3,EA,2015-12-04
500000279,10,HT-1100,,USD,213.96,179.8,34.16,I,,2,EA,2015-12-04
500000279,20,HT-1101,,EUR,95.08,79.9,15.18,I,,1,EA,2015-12-04
500000280,10,HT-1500,,EUR,5950,5000,950,I,,1,EA,2015-12-04
500000280,20,HT-1501,,JPY,3570,3000,570,I,,2,EA,2015-12-04
500000281,10,HT-1105,,EUR,103.53,87,16.53,I,,3,EA,2015-12-04
500000281,20,HT-1106,,MXN,40.46,34,6.46,I,,1,EA,2015-12-04
500000282,10,HT-1030,,EUR,547.4,460,87.4,I,,2,EA,2015-12-04
500000282,20,HT-1031,,GBP,1017.45,855,162.45,I,,3,EA,2015-12-04
500000283,10,HT-1060,,EUR,21.42,18,3.42,I,,2,EA,2015-12-04
500000283,20,HT-1061,,EUR,16.66,14,2.66,I,,2,EA,2015-12-04
500000284,10,HT-1500,,EUR,11900,10000,1900,I,,2,EA,2015-12-04
500000284,20,HT-1501,,JPY,3570,3000,570,I,,2,EA,2015-12-04
500000285,10,HT-1085,,DKK,3567.62,2998,569.62,I,,2,EA,2015-12-04
500000285,20,HT-1090,,EUR,92.82,78,14.82,I,,2,EA,2015-12-04
500000286,10,HT-1104,,JPY,65.45,55,10.45,I,,1,EA,2015-12-04
500000286,20,HT-1105,,EUR,103.53,87,16.53,I,,3,EA,2015-12-04
500000287,10,HT-1000,,EUR,2275.28,1912,363.28,I,,2,EA,2015-12-04
500000287,20,HT-1001,,EUR,2972.62,2498,474.62,I,,2,EA,2015-12-04
500000288,10,HT-1070,,ARS,84.37,70.9,13.47,I,,1,EA,2015-12-04
500000288,20,HT-1071,,ZAR,291.67,245.1,46.57,I,,3,EA,2015-12-04
500000289,10,HT-1040,,EUR,987.7,830,157.7,I,,1,EA,2015-12-04
500000289,20,HT-1041,,ARS,1166.2,980,186.2,I,,2,EA,2015-12-04
500000290,10,HT-1113,,EUR,8.21,6.9,1.31,I,,3,EA,2015-12-04
500000290,20,HT-1114,,USD,164.22,138,26.22,I,,2,EA,2015-12-04
500000291,10,HT-1117,,EUR,90.44,76,14.44,I,,2,EA,2015-12-04
500000291,20,HT-1118,,ARS,94.01,79,15.01,I,,1,EA,2015-12-04
500000292,10,HT-1100,,USD,106.98,89.9,17.08,I,,1,EA,2015-12-04
500000292,20,HT-1107,,ARS,71.16,59.8,11.36,I,,2,EA,2015-12-04
500000293,10,HT-1100,,USD,320.94,269.7,51.24,I,,3,EA,2015-12-04
500000293,20,HT-1101,,EUR,285.24,239.7,45.54,I,,3,EA,2015-12-04
500000294,10,HT-1070,,ARS,253.11,212.7,40.41,I,,3,EA,2015-12-04
500000294,20,HT-1071,,ZAR,97.22,81.7,15.52,I,,1,EA,2015-12-04
500000295,10,HT-1210,,EUR,5709.62,4798,911.62,I,,2,EA,2015-12-04
500000295,20,HT-1500,,EUR,11900,10000,1900,I,,2,EA,2015-12-04
500000296,10,HT-1063,,BRL,33.32,28,5.32,I,,2,EA,2015-12-04
500000296,20,HT-1064,,CAD,19.04,16,3.04,I,,1,EA,2015-12-04
500000297,10,HT-1102,,USD,246.33,207,39.33,I,,3,EA,2015-12-04
500000297,20,HT-1103,,EUR,274.89,231,43.89,I,,3,EA,2015-12-04
500000298,10,HT-1104,,JPY,196.35,165,31.35,I,,3,EA,2015-12-04
500000298,20,HT-1105,,EUR,103.53,87,16.53,I,,3,EA,2015-12-04
500000299,10,HT-1116,,MXN,128.52,108,20.52,I,,3,EA,2015-12-04
500000299,20,HT-1117,,EUR,135.66,114,21.66,I,,3,EA,2015-12-04
500000300,10,HT-1000,,EUR,1137.64,956,181.64,I,,1,EA,2015-12-04
500000300,20,HT-1001,,EUR,2972.62,2498,474.62,I,,2,EA,2015-12-04
500000301,10,HT-1030,,EUR,547.4,460,87.4,I,,2,EA,2015-12-04
500000301,20,HT-1031,,GBP,339.15,285,54.15,I,,1,EA,2015-12-04
500000302,10,HT-1040,,EUR,2963.1,2490,473.1,I,,3,EA,2015-12-04
500000302,20,HT-1041,,ARS,583.1,490,93.1,I,,1,EA,2015-12-04
500000303,10,HT-1073,,EUR,85.68,72,13.68,I,,3,EA,2015-12-04
500000303,20,HT-1080,,INR,182.07,153,29.07,I,,3,EA,2015-12-04
500000304,10,HT-1100,,USD,213.96,179.8,34.16,I,,2,EA,2015-12-04
500000304,20,HT-1101,,EUR,95.08,79.9,15.18,I,,1,EA,2015-12-04
500000305,10,HT-1500,,EUR,5950,5000,950,I,,1,EA,2015-12-04
500000305,20,HT-1501,,JPY,3570,3000,570,I,,2,EA,2015-12-04
500000306,10,HT-1105,,EUR,103.53,87,16.53,I,,3,EA,2015-12-04
500000306,20,HT-1106,,MXN,40.46,34,6.46,I,,1,EA,2015-12-04
500000307,10,HT-1030,,EUR,547.4,460,87.4,I,,2,EA,2015-12-04
500000307,20,HT-1031,,GBP,1017.45,855,162.45,I,,3,EA,2015-12-04
500000308,10,HT-1060,,EUR,21.42,18,3.42,I,,2,EA,2015-12-04
500000308,20,HT-1061,,EUR,16.66,14,2.66,I,,2,EA,2015-12-04
500000309,10,HT-1040,,EUR,1975.4,1660,315.4,I,,2,EA,2015-12-04
500000309,20,HT-1041,,ARS,1166.2,980,186.2,I,,2,EA,2015-12-04
500000310,10,HT-1070,,ARS,168.74,141.8,26.94,I,,2,EA,2015-12-04
500000310,20,HT-1071,,ZAR,194.45,163.4,31.05,I,,2,EA,2015-12-04
500000311,10,HT-1104,,JPY,65.45,55,10.45,I,,1,EA,2015-12-04
500000311,20,HT-1105,,EUR,103.53,87,16.53,I,,3,EA,2015-12-04
500000312,10,HT-1000,,EUR,2275.28,1912,363.28,I,,2,EA,2015-12-04
500000312,20,HT-1001,,EUR,2972.62,2498,474.62,I,,2,EA,2015-12-04
500000313,10,HT-1022,,ARS,243.95,205,38.95,I,,1,EA,2015-12-04
500000313,20,HT-1023,,USD,853.23,717,136.23,I,,3,EA,2015-12-04
500000314,10,HT-1040,,EUR,987.7,830,157.7,I,,1,EA,2015-12-04
500000314,20,HT-1041,,ARS,1166.2,980,186.2,I,,2,EA,2015-12-04
500000315,10,HT-1055,,EUR,353.43,297,56.43,I,,3,EA,2015-12-04
500000315,20,HT-1056,,JPY,283.22,238,45.22,I,,2,EA,2015-12-04
500000316,10,HT-1067,,EUR,8.33,7,1.33,I,,2,EA,2015-12-04
500000316,20,HT-1068,,USD,4.17,3.5,0.67,I,,1,EA,2015-12-04
500000317,10,HT-1100,,USD,106.98,89.9,17.08,I,,1,EA,2015-12-04
500000317,20,HT-1107,,ARS,71.16,59.8,11.36,I,,2,EA,2015-12-04
500000318,10,HT-1100,,USD,320.94,269.7,51.24,I,,3,EA,2015-12-04
500000318,20,HT-1101,,EUR,285.24,239.7,45.54,I,,3,EA,2015-12-04
500000319,10,HT-1070,,ARS,253.11,212.7,40.41,I,,3,EA,2015-12-04
500000319,20,HT-1071,,ZAR,97.22,81.7,15.52,I,,1,EA,2015-12-04
500000320,10,HT-1082,,ARS,402.22,338,64.22,I,,2,EA,2015-12-04
500000320,20,HT-1083,,CNY,1237.6,1040,197.6,I,,2,EA,2015-12-04
500000321,10,HT-1113,,EUR,5.47,4.6,0.87,I,,2,EA,2015-12-04
500000321,20,HT-1114,,USD,82.11,69,13.11,I,,1,EA,2015-12-04
500000322,10,HT-1102,,USD,246.33,207,39.33,I,,3,EA,2015-12-04
500000322,20,HT-1103,,EUR,274.89,231,43.89,I,,3,EA,2015-12-04
500000323,10,HT-1104,,JPY,196.35,165,31.35,I,,3,EA,2015-12-04
